模块,卡片ID,题目,正确答案,卡片类型,音频链接
模块 04,5fbed063ed94720017c400ab,阴性名词“办公室工作、文书工作、文职、文职工作、白领工作”用德语怎么拼写？,Büroarbeit,,
模块 04,5fbed094ed94720017c400ac,名词“die E-Mail”是什么意思？,“电子邮件” 或 “电邮” 或 “邮件” 或 “电子邮件” 或 “电邮” 或 “邮件” 或 “电子邮件、电邮、邮件”,,
模块 04,5fbed094ed94720017c400ad,请选择单词“E-Mail”的性,die,,
模块 04,5fbed094ed94720017c400ae,请拼写出名词“E-Mail”的复数形式。,E-Mails,,
模块 04,5fbed094ed94720017c400af,阴性名词“电子邮件、电邮、邮件”用德语怎么拼写？,E-Mail,,
模块 04,5fbed094ed94720017c400b0,请播放音频 ，并拼写出您听到的 阴性名词 。,E-Mail,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/pbbx1lik3ruxxydcuoq5.mp3
模块 04,5fbed094ed94720017c400b1,请播放音频 ，并提交您听到的 阴性名词 的 中文意思。,“电子邮件” 或 “电邮” 或 “邮件” 或 “电子邮件” 或 “电邮” 或 “邮件” 或 “电子邮件、电邮、邮件”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/pbbx1lik3ruxxydcuoq5.mp3
模块 04,5fbed0afed94720017c400b2,名词“der Vertrag”是什么意思？,“契约” 或 “合同” 或 “合约” 或 “契约” 或 “合同” 或 “合约” 或 “契约、合同、合约” 或 “盟约” 或 “协定” 或 “协议” 或 “条约” 或 “盟约” 或 “协定” 或 “协议” 或 “条约” 或 “盟约、协定、协议、条约”,,
模块 04,5fbed0afed94720017c400b3,请选择单词“Vertrag”的性,der,,
模块 04,5fbed0afed94720017c400b4,请拼写出名词“Vertrag”的复数形式。,Verträge,,
模块 04,5fbed0afed94720017c400b5,阳性名词“契约、合同、合约”用德语怎么拼写？,Vertrag,,
模块 04,5fbed0afed94720017c400b6,请播放音频 ，并拼写出您听到的 阳性名词 。,Vertrag,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4115044_479903733.mp3
模块 04,5fbed0afed94720017c400b7,请播放音频 ，并提交您听到的 阳性名词 的 中文意思。,“契约” 或 “合同” 或 “合约” 或 “契约” 或 “合同” 或 “合约” 或 “契约、合同、合约” 或 “盟约” 或 “协定” 或 “协议” 或 “条约” 或 “盟约” 或 “协定” 或 “协议” 或 “条约” 或 “盟约、协定、协议、条约”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4115044_479903733.mp3
模块 04,5fbed0d2ed94720017c400b8,不可分动词“unterschreiben”是什么意思？,“签” 或 “签字” 或 “签名” 或 “署名” 或 “签署” 或 “签订” 或 “签” 或 “签字” 或 “签名” 或 “署名” 或 “签署” 或 “签订” 或 “签、签字、签名、署名、签署、签订” 或 “赞同” 或 “认可” 或 “赞同” 或 “认可” 或 “赞同、认可” 或 “（口语）赞同、认可”,,
模块 04,5fbed0d2ed94720017c400b9,请播放音频 ，并拼写出您听到的 动词 。,unterschreiben,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4109926_409673508.mp3
模块 04,5fbed0d2ed94720017c400ba,请播放音频 ，并提交您听到的 动词 的 中文意思。,“签” 或 “签字” 或 “签名” 或 “署名” 或 “签署” 或 “签订” 或 “签” 或 “签字” 或 “签名” 或 “署名” 或 “签署” 或 “签订” 或 “签、签字、签名、署名、签署、签订” 或 “赞同” 或 “认可” 或 “赞同” 或 “认可” 或 “赞同、认可” 或 “（口语）赞同、认可”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4109926_409673508.mp3
模块 04,5fbed0d2ed94720017c400bb,动词“unterschreiben”的 过去分词（Partizip II） 是什么？,unterschrieben,,
模块 04,5fbed0d2ed94720017c400bc,动词“unterschreiben”是可分动词吗？,不是,,
模块 04,5fbed0d2ed94720017c400bd,"请填写动词""unterschreiben""的 命令式 动词变位表",unterschreib 或 unterschreibe,,
模块 04,5fbed0d2ed94720017c400be,动词“unterschreiben”的现在完成时的助动词是什么？,haben,,
模块 04,5fbed0d2ed94720017c400bf,请填写动词“unterschreiben”的 一般现在时（Präsens） 动词变位表,unterschreibe,,
模块 04,5fbed0e7ed94720017c400c0,动词“installieren”是什么意思？,“安装” 或 “装置” 或 “组装” 或 “安装” 或 “装置” 或 “组装” 或 “安装、装置、组装” 或 “授予……宗教职务” 或 “授予……宗教职务” 或 “[旧]授予……宗教职务” 或 “安排” 或 “安顿” 或 “布置” 或 “安置” 或 “安排” 或 “安顿” 或 “布置” 或 “安置” 或 “安排、安顿、布置、安置” 或 “[口]安排、安顿、布置、安置”,,
模块 04,5fbed0e7ed94720017c400c1,请播放音频 ，并拼写出您听到的 动词 。,installieren,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4112255_349600309.mp3
模块 04,5fbed0e7ed94720017c400c2,请播放音频 ，并提交您听到的 动词 的 中文意思。,“安装” 或 “装置” 或 “组装” 或 “安装” 或 “装置” 或 “组装” 或 “安装、装置、组装” 或 “授予……宗教职务” 或 “授予……宗教职务” 或 “[旧]授予……宗教职务” 或 “安排” 或 “安顿” 或 “布置” 或 “安置” 或 “安排” 或 “安顿” 或 “布置” 或 “安置” 或 “安排、安顿、布置、安置” 或 “[口]安排、安顿、布置、安置”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4112255_349600309.mp3
模块 04,5fbed0e7ed94720017c400c3,动词“installieren”的 过去分词（Partizip II） 是什么？,installiert,,
模块 04,5fbed0e7ed94720017c400c4,"请填写动词""installieren""的 命令式 动词变位表",installier 或 installiere,,
模块 04,5fbed0e7ed94720017c400c5,动词“installieren”的现在完成时的助动词是什么？,haben,,
模块 04,5fbed0e7ed94720017c400c6,请填写动词“installieren”的 一般现在时（Präsens） 动词变位表,installiere,,
模块 04,5fbed0ffed94720017c400c7,动词“reparieren”是什么意思？,“修理” 或 “修复” 或 “修补” 或 “修缮” 或 “维修” 或 “修” 或 “修理” 或 “修复” 或 “修补” 或 “修缮” 或 “维修” 或 “修” 或 “修理、修复、修补、修缮、维修、修” 或 “治愈” 或 “治愈” 或 “[转]治愈”,,
模块 04,5fbed0ffed94720017c400c8,动词“修理、修复、修补、修缮、维修、修”用德语怎么拼写？,reparieren,,
模块 04,5fbed0ffed94720017c400c9,请播放音频 ，并拼写出您听到的 动词 。,reparieren,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4109068_437271472.mp3
模块 04,5fbed0ffed94720017c400ca,请播放音频 ，并提交您听到的 动词 的 中文意思。,“修理” 或 “修复” 或 “修补” 或 “修缮” 或 “维修” 或 “修” 或 “修理” 或 “修复” 或 “修补” 或 “修缮” 或 “维修” 或 “修” 或 “修理、修复、修补、修缮、维修、修” 或 “治愈” 或 “治愈” 或 “[转]治愈”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4109068_437271472.mp3
模块 04,5fbed0ffed94720017c400cb,"请填写动词""reparieren""的 命令式 动词变位表",reparier 或 repariere,,
模块 04,5fbed0ffed94720017c400cc,动词“reparieren”的现在完成时的助动词是什么？,haben,,
模块 04,5fbed0ffed94720017c400cd,请填写动词“reparieren”的 一般现在时（Präsens） 动词变位表,repariere,,
模块 04,5fbed1a6ed94720017c400ce,请填写缺失的变位动词：Das _____ cool. （这听起来很酷。）,“klingt”,,
模块 04,5fbed21aed94720017c400cf,请填写缺失的单词：Max hat _____. （Max说得对。）,“recht” 或 “Recht”,,
模块 04,5fbed26ded94720017c400d0,名词“die Mappe”是什么意思？,“公事包” 或 “书包” 或 “公文包” 或 “公事包” 或 “书包” 或 “公文包” 或 “公事包、书包、公文包” 或 “文件夹” 或 “纸夹” 或 “文件袋” 或 “文件夹” 或 “纸夹” 或 “文件袋” 或 “文件夹、纸夹、文件袋”,,
模块 04,5fbed26ded94720017c400d1,请选择单词“Mappe”的性,die,,
模块 04,5fbed26ded94720017c400d2,请拼写出名词“Mappe”的复数形式。,Mappen,,
模块 04,5fbed26ded94720017c400d3,阴性名词“文件夹、纸夹、文件袋”用德语怎么拼写？,Mappe,,
模块 04,5fbed26ded94720017c400d4,请播放音频 ，并拼写出您听到的 阴性名词 。,Mappe,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/stta7z3wnha0zdevvm4t.mp3
模块 04,5fbed26ded94720017c400d5,请播放音频 ，并提交您听到的 阴性名词 的 中文意思。,“公事包” 或 “书包” 或 “公文包” 或 “公事包” 或 “书包” 或 “公文包” 或 “公事包、书包、公文包” 或 “文件夹” 或 “纸夹” 或 “文件袋” 或 “文件夹” 或 “纸夹” 或 “文件袋” 或 “文件夹、纸夹、文件袋”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/stta7z3wnha0zdevvm4t.mp3
模块 04,60558d1bc5adb989c1e6688b,动词“klingen”是什么意思？,“听起来” 或 “听来” 或 “听上去” 或 “听起来” 或 “听来” 或 “听上去” 或 “听起来、听来、听上去” 或 “发出清脆的声音” 或 “发出清脆的声音”,,
模块 04,60558d1bc5adb989c1e6688c,请播放音频 ，并拼写出您听到的 动词 。,klingen,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4109846_236870497.mp3
模块 04,60558d1bc5adb989c1e6688d,请播放音频 ，并提交您听到的 动词 的 中文意思。,“听起来” 或 “听来” 或 “听上去” 或 “听起来” 或 “听来” 或 “听上去” 或 “听起来、听来、听上去” 或 “发出清脆的声音” 或 “发出清脆的声音”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4109846_236870497.mp3
模块 04,5fbf3f17d5277c350cd45eba,可分动词“stattfinden”是什么意思？,“举行” 或 “发生” 或 “举办” 或 “举行” 或 “发生” 或 “举办” 或 “举行、发生、举办”,,
模块 04,5fbf3f17d5277c350cd45ec0,"请填写动词""stattfinden""的 命令式 动词变位表",find statt 或 finde statt,,
模块 04,5fbf3f17d5277c350cd45ec2,请填写动词“stattfinden”的 一般现在时（Präsens） 动词变位表,finde statt,,
模块 04,5fbf3f41d5277c350cd45ec3,名词“der Besprechungsraum”是什么意思？,“会议室” 或 “会议厅” 或 “会议室” 或 “会议厅” 或 “会议室、会议厅”,,
模块 04,5fbf3f17d5277c350cd45ebb,可分动词“举行、发生、举办”用德语怎么拼写？,stattfinden,,
模块 04,5fbf3f17d5277c350cd45ec1,动词“stattfinden”的现在完成时的助动词是什么？,haben,,
模块 04,5fbf3f17d5277c350cd45ebd,请播放音频 ，并提交您听到的 动词 的 中文意思。,“举行” 或 “发生” 或 “举办” 或 “举行” 或 “发生” 或 “举办” 或 “举行、发生、举办”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4113404_272799222.mp3
模块 04,5fbf3f17d5277c350cd45ebe,动词“stattfinden”的 过去分词（Partizip II） 是什么？,stattgefunden,,
模块 04,5fbf3f17d5277c350cd45ebc,请播放音频 ，并拼写出您听到的 动词 。,stattfinden,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4113404_272799222.mp3
模块 04,5fbf3f17d5277c350cd45ebf,动词“stattfinden”是可分动词吗？,是的,,
模块 04,5fbf3f4fd5277c350cd45ec5,请选择单词“Besprechung”的性,die,,
模块 04,5fbf3f4fd5277c350cd45ec6,请拼写出名词“Besprechung”的复数形式。,Besprechungen,,
模块 04,5fbf3f4fd5277c350cd45ec8,请播放音频 ，并拼写出您听到的 阴性名词 。,Besprechung,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4106655_57172201.mp3
模块 04,5fbf3f4fd5277c350cd45ec9,请播放音频 ，并提交您听到的 阴性名词 的 中文意思。,“会议” 或 “讨论” 或 “商讨” 或 “磋商” 或 “会谈” 或 “讨论会” 或 “交流” 或 “谈论” 或 “谈话” 或 “商谈” 或 “商榷” 或 “商议” 或 “会议” 或 “讨论” 或 “商讨” 或 “磋商” 或 “会谈” 或 “讨论会” 或 “交流” 或 “谈论” 或 “谈话” 或 “商谈” 或 “商榷” 或 “商议” 或 “会议、讨论、商讨、磋商、会谈、讨论会、交流、谈论、谈话、商谈、商榷、商议” 或 “评论” 或 “评论”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4106655_57172201.mp3
模块 04,5fbf3facd5277c350cd45eca,短语“在三楼（中国的四楼）”用德语怎么说？,“in der dritten Etage” 或 “im dritten Stock” 或 “in dem dritten Stock” 或 “im dritten Stockwerk” 或 “in dem dritten Stockwerk” 或 “im dritten Geschoss” 或 “in dem dritten Geschoss”,,
模块 04,5fbf3fbbd5277c350cd45ecb,请选择单词“Etage”的性,die,,
模块 04,5fbf3fbbd5277c350cd45ecc,请拼写出名词“Etage”的复数形式。,Etagen,,
模块 04,5fbf3fbbd5277c350cd45ecd,请播放音频 ，并拼写出您听到的 阴性名词 。,Etage,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4115744_422985682.mp3
模块 04,5fbf3fdad5277c350cd45ece,介词“neben”是什么意思？,“在……旁边” 或 “在……旁” 或 “挨着” 或 “与……相邻” 或 “紧邻” 或 “在……旁边” 或 “在……旁” 或 “挨着” 或 “与……相邻” 或 “紧邻” 或 “在……旁边、在……旁、挨着、与……相邻、紧邻” 或 “（表示地点，支配第三格，回答问题wo?）在……旁边、在……旁、挨着、与……相邻、紧邻” 或 “向……旁边” 或 “把……放到……旁边” 或 “向……旁边” 或 “把……放到……旁边” 或 “向……旁边、把……放到……旁边” 或 “（表示方向，支配第四格，回答问题wohin？）向……旁边、把……放到……旁边” 或 “除……之外” 或 “除……之外” 或 “（支配第三格）除……之外” 或 “与……相比” 或 “与……相比” 或 “（支配第三格）与……相比”,,
模块 04,5fbf3f4fd5277c350cd45ec4,名词“die Besprechung”是什么意思？,“会议” 或 “讨论” 或 “商讨” 或 “磋商” 或 “会谈” 或 “讨论会” 或 “交流” 或 “谈论” 或 “谈话” 或 “商谈” 或 “商榷” 或 “商议” 或 “会议” 或 “讨论” 或 “商讨” 或 “磋商” 或 “会谈” 或 “讨论会” 或 “交流” 或 “谈论” 或 “谈话” 或 “商谈” 或 “商榷” 或 “商议” 或 “会议、讨论、商讨、磋商、会谈、讨论会、交流、谈论、谈话、商谈、商榷、商议” 或 “评论” 或 “评论”,,
模块 04,5fbf3fdad5277c350cd45ed0,请播放音频 ，并拼写出您听到的 介词 。,neben,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/eqnnm9a2ud3ihhx7p1kk.mp3
模块 04,5fbf3fdad5277c350cd45ed1,请播放音频 ，并提交您听到的 介词 的 中文意思。,“在……旁边” 或 “在……旁” 或 “挨着” 或 “与……相邻” 或 “紧邻” 或 “在……旁边” 或 “在……旁” 或 “挨着” 或 “与……相邻” 或 “紧邻” 或 “在……旁边、在……旁、挨着、与……相邻、紧邻” 或 “（表示地点，支配第三格，回答问题wo?）在……旁边、在……旁、挨着、与……相邻、紧邻” 或 “向……旁边” 或 “把……放到……旁边” 或 “向……旁边” 或 “把……放到……旁边” 或 “向……旁边、把……放到……旁边” 或 “（表示方向，支配第四格，回答问题wohin？）向……旁边、把……放到……旁边” 或 “除……之外” 或 “除……之外” 或 “（支配第三格）除……之外” 或 “与……相比” 或 “与……相比” 或 “（支配第三格）与……相比”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/eqnnm9a2ud3ihhx7p1kk.mp3
模块 04,5fbf4078d5277c350cd45ed2,请填写缺失的单词：Gehen Sie _____ (请您向左走).,“links”,,
模块 04,5fbf4090d5277c350cd45ed3,请填写缺失的单词：Gehen Sie ______ (请您向右走).,“rechts”,,
模块 04,5fbf40aed5277c350cd45ed4,名词“der Plan”是什么意思？,“计划” 或 “规划” 或 “计划” 或 “规划” 或 “计划、规划” 或 “意图” 或 “打算” 或 “意图” 或 “打算” 或 “意图、打算” 或 “鸟瞰图” 或 “地形图” 或 “鸟瞰图” 或 “地形图” 或 “鸟瞰图、地形图” 或 “提纲” 或 “草案” 或 “方案” 或 “提纲” 或 “草案” 或 “方案” 或 “提纲、草案、方案” 或 “（进行工作的）提纲、草案、方案” 或 “设计图” 或 “平面图” 或 “图纸” 或 “设计图” 或 “平面图” 或 “图纸” 或 “设计图、平面图、图纸” 或 “安排” 或 “安排” 或 “（计划工作的）安排” 或 “平地” 或 “开阔的广场” 或 “平地” 或 “开阔的广场” 或 “平地、开阔的广场” 或 “比赛场地” 或 “战场” 或 “比赛场地” 或 “战场” 或 “比赛场地、战场”,,
模块 04,5fbf40aed5277c350cd45ed5,请选择单词“Plan”的性,der,,
模块 04,5fbf40aed5277c350cd45ed6,请拼写出名词“Plan”的复数形式。,Pläne,,
模块 04,5fbf40aed5277c350cd45ed8,请播放音频 ，并拼写出您听到的 阳性名词 。,Plan,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/j1iethxwzmg62gqnm2tk.mp3
模块 04,5fbf40aed5277c350cd45ed9,请播放音频 ，并提交您听到的 阳性名词 的 中文意思。,“计划” 或 “规划” 或 “计划” 或 “规划” 或 “计划、规划” 或 “意图” 或 “打算” 或 “意图” 或 “打算” 或 “意图、打算” 或 “鸟瞰图” 或 “地形图” 或 “鸟瞰图” 或 “地形图” 或 “鸟瞰图、地形图” 或 “提纲” 或 “草案” 或 “方案” 或 “提纲” 或 “草案” 或 “方案” 或 “提纲、草案、方案” 或 “（进行工作的）提纲、草案、方案” 或 “设计图” 或 “平面图” 或 “图纸” 或 “设计图” 或 “平面图” 或 “图纸” 或 “设计图、平面图、图纸” 或 “安排” 或 “安排” 或 “（计划工作的）安排” 或 “平地” 或 “开阔的广场” 或 “平地” 或 “开阔的广场” 或 “平地、开阔的广场” 或 “比赛场地” 或 “战场” 或 “比赛场地” 或 “战场” 或 “比赛场地、战场”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/j1iethxwzmg62gqnm2tk.mp3
模块 04,5fbf40cbd5277c350cd45eda,名词“der Lageplan”是什么意思？,“地形图” 或 “位置图” 或 “方位图” 或 “导引图” 或 “平面图” 或 “地图” 或 “总平面图” 或 “地形图” 或 “位置图” 或 “方位图” 或 “导引图” 或 “平面图” 或 “地图” 或 “总平面图” 或 “地形图、位置图、方位图、导引图、平面图、地图、总平面图”,,
模块 04,5fbf40e2d5277c350cd45edb,名词“die Konferenz”是什么意思？,“会议” 或 “协商会” 或 “大会” 或 “会议” 或 “协商会” 或 “大会” 或 “会议、协商会、大会”,,
模块 04,5fbf40e2d5277c350cd45edc,请选择单词“Konferenz”的性,die,,
模块 04,5fbf40e2d5277c350cd45edd,请拼写出名词“Konferenz”的复数形式。,Konferenzen,,
模块 04,5fbf40e2d5277c350cd45ede,请播放音频 ，并拼写出您听到的 阴性名词 。,Konferenz,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4113252_357943436.mp3
模块 04,5fbf40e2d5277c350cd45edf,请播放音频 ，并提交您听到的 阴性名词 的 中文意思。,“会议” 或 “协商会” 或 “大会” 或 “会议” 或 “协商会” 或 “大会” 或 “会议、协商会、大会”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4113252_357943436.mp3
模块 04,5fbf40f1d5277c350cd45ee0,名词“der Konferenzraum”是什么意思？,“会议室” 或 “会议厅” 或 “会议室” 或 “会议厅” 或 “会议室、会议厅” 或 “（大型）会议室、会议厅”,,
模块 04,5fbf4108d5277c350cd45ee1,短语“da lang”是什么意思？,“在那边” 或 “在那里” 或 “在那儿” 或 “在那” 或 “在这边” 或 “在这里” 或 “在这儿” 或 “在这” 或 “那边” 或 “这边” 或 “那里” 或 “这里” 或 “那儿” 或 “这儿” 或 “在那边” 或 “在那里” 或 “在那儿” 或 “在那” 或 “在这边” 或 “在这里” 或 “在这儿” 或 “在这” 或 “那边” 或 “这边” 或 “那里” 或 “这里” 或 “那儿” 或 “这儿” 或 “在那边、在那里、在那儿、在那、在这边、在这里、在这儿、在这、那边、这边、那里、这里、那儿、这儿”,,
模块 04,5fbf4160d5277c350cd45ee2,动词“vergessen”是什么意思？,“忘记” 或 “忘却” 或 “忘掉” 或 “忘了” 或 “忘记” 或 “忘却” 或 “忘掉” 或 “忘了” 或 “忘记、忘却、忘掉、忘了” 或 “忘记、忘却、忘掉、忘了（主语一般是人）” 或 “回忆不起来” 或 “记不起” 或 “遗忘” 或 “回忆不起来” 或 “记不起” 或 “遗忘” 或 “回忆不起来、记不起、遗忘” 或 “忘记带” 或 “忘记在” 或 “落在” 或 “忘记带” 或 “忘记在” 或 “落在” 或 “忘记带、忘记在、落在”,,
模块 04,5fbf4160d5277c350cd45ee3,动词“忘记、忘却、忘掉、忘了（主语一般是人）”用德语怎么拼写？,vergessen,,
模块 04,5fbf4160d5277c350cd45ee4,请播放音频 ，并拼写出您听到的 动词 。,vergessen,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4107868_175041229.mp3
模块 04,5fbf4160d5277c350cd45ee5,请播放音频 ，并提交您听到的 动词 的 中文意思。,“忘记” 或 “忘却” 或 “忘掉” 或 “忘了” 或 “忘记” 或 “忘却” 或 “忘掉” 或 “忘了” 或 “忘记、忘却、忘掉、忘了” 或 “忘记、忘却、忘掉、忘了（主语一般是人）” 或 “回忆不起来” 或 “记不起” 或 “遗忘” 或 “回忆不起来” 或 “记不起” 或 “遗忘” 或 “回忆不起来、记不起、遗忘” 或 “忘记带” 或 “忘记在” 或 “落在” 或 “忘记带” 或 “忘记在” 或 “落在” 或 “忘记带、忘记在、落在”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4107868_175041229.mp3
模块 04,5fbf4160d5277c350cd45ee6,动词“vergessen”的 过去分词（Partizip II） 是什么？,vergessen,,
模块 04,5fbf4160d5277c350cd45ee7,"请填写动词""vergessen""的 命令式 动词变位表",vergiss,,
模块 04,5fbf4160d5277c350cd45ee8,动词“vergessen”的现在完成时的助动词是什么？,haben,,
模块 04,5fbf4160d5277c350cd45ee9,请填写动词“vergessen”的 一般现在时（Präsens） 动词变位表,vergesse,,
模块 04,5fbf4186d5277c350cd45eea,名词“der Retter”是什么意思？,“救援者” 或 “营救人员” 或 “救援人员” 或 “救赎者” 或 “援助者” 或 “救星” 或 “救命恩人” 或 “拯救者” 或 “援救者” 或 “救援者” 或 “营救人员” 或 “救援人员” 或 “救赎者” 或 “援助者” 或 “救星” 或 “救命恩人” 或 “拯救者” 或 “援救者” 或 “男救援者” 或 “男营救人员” 或 “男救援人员” 或 “男救赎者” 或 “男援助者” 或 “男救星” 或 “男救命恩人” 或 “男拯救者” 或 “男援救者” 或 “救援者、营救人员、救援人员、救赎者、援助者、救星、救命恩人、拯救者、援救者”,,
模块 04,5fbf4186d5277c350cd45eeb,请选择单词“Retter”的性,der,,
模块 04,5fbf4186d5277c350cd45eec,请拼写出名词“Retter”的复数形式。,Retter,,
模块 04,5fbf4186d5277c350cd45eed,“女救援者”用德语怎么拼写？,Retterin,,
模块 04,5fbf4186d5277c350cd45eee,阳性名词“救援者、营救人员、救援人员、救赎者、援助者、救星、救命恩人、拯救者、援救者”用德语怎么拼写？,Retter,,
模块 04,5fbf4186d5277c350cd45eef,请播放音频 ，并拼写出您听到的 阳性名词 。,Retter,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/xgwjpjnbxtw39zkojxgk.mp3
模块 04,5fbf4186d5277c350cd45ef0,请播放音频 ，并提交您听到的 阳性名词 的 中文意思。,“救援者” 或 “营救人员” 或 “救援人员” 或 “救赎者” 或 “援助者” 或 “救星” 或 “救命恩人” 或 “拯救者” 或 “援救者” 或 “救援者” 或 “营救人员” 或 “救援人员” 或 “救赎者” 或 “援助者” 或 “救星” 或 “救命恩人” 或 “拯救者” 或 “援救者” 或 “男救援者” 或 “男营救人员” 或 “男救援人员” 或 “男救赎者” 或 “男援助者” 或 “男救星” 或 “男救命恩人” 或 “男拯救者” 或 “男援救者” 或 “救援者、营救人员、救援人员、救赎者、援助者、救星、救命恩人、拯救者、援救者”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/xgwjpjnbxtw39zkojxgk.mp3
模块 04,638b2af9a7ab963318871deb,过去分词（Partizip II） “vergessen”的动词原形怎么拼写？,vergessen,,
模块 04,5fc1609724af04a0d7960fa6,“您找谁？”用德语怎么说？,“Wen suchen Sie?”,,
模块 04,5fc1787424af04a0d796101c,请填写动词“hassen”的 一般现在时（Präsens） 动词变位表,hasse,,
模块 04,5fc1787324af04a0d7961015,动词“hassen”是什么意思？,“讨厌” 或 “厌恶” 或 “恨” 或 “憎恨” 或 “憎恶” 或 “讨厌” 或 “厌恶” 或 “恨” 或 “憎恨” 或 “憎恶” 或 “讨厌、厌恶、恨、憎恨、憎恶”,,
模块 04,5fc1787324af04a0d7961016,动词“讨厌、厌恶、恨、憎恨、憎恶”用德语怎么拼写？,hassen,,
模块 04,5fc1787324af04a0d7961018,请播放音频 ，并提交您听到的 动词 的 中文意思。,“讨厌” 或 “厌恶” 或 “恨” 或 “憎恨” 或 “憎恶” 或 “讨厌” 或 “厌恶” 或 “恨” 或 “憎恨” 或 “憎恶” 或 “讨厌、厌恶、恨、憎恨、憎恶”,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/5fc1772d24af04a0d7960fb51684132640015.mp3
模块 04,5fc1787424af04a0d7961019,动词“hassen”的 过去分词（Partizip II） 是什么？,gehasst,,
模块 04,5fc1787324af04a0d7961017,请播放音频 ，并拼写出您听到的 动词 。,hassen,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/5fc1772d24af04a0d7960fb51684132640015.mp3
模块 04,5fc1787424af04a0d796101a,"请填写动词""hassen""的 命令式 动词变位表",hass 或 hasse,,
模块 04,5fc1787424af04a0d796101b,动词“hassen”的现在完成时的助动词是什么？,haben,,
模块 04,5fc1788b24af04a0d796101d,形容词“weit”是什么意思？,“远的” 或 “遥远的” 或 “远距离的” 或 “长的” 或 “远的” 或 “遥远的” 或 “远距离的” 或 “长的” 或 “远的、遥远的、远距离的、长的” 或 “宽的” 或 “宽大的” 或 “宽松的” 或 “宽的” 或 “宽大的” 或 “宽松的” 或 “宽的、宽大的、宽松的” 或 “广阔的” 或 “辽阔的” 或 “宽阔的” 或 “宽敞的” 或 “宽广的” 或 “广阔的” 或 “辽阔的” 或 “宽阔的” 或 “宽敞的” 或 “宽广的” 或 “广阔的、辽阔的、宽阔的、宽敞的、宽广的” 或 “大大地” 或 “大大地” 或 “……得多” 或 “……得多” 或 “（常用于比较级之前）……得多”,,
模块 04,5fc1788b24af04a0d796101f,请播放音频 ，并拼写出您听到的 形容词 。,weit,,https://pub-1c1a3bd3f4554dc4afce6c91070cf22e.r2.dev/ID4110821_479609998.mp3
模块 04,66e453d7b4400e0015eda516,“我不想再（在大学里）学习了。”用德语怎么说？,“Ich will nicht mehr studieren.” 或 “Ich möchte nicht mehr studieren.” 或 “Ich will nicht mehr (an der Universität) studieren.” 或 “Ich will nicht mehr an der Universität studieren.” 或 “Ich möchte nicht mehr (an der Universität) studieren.” 或 “Ich möchte nicht mehr an der Universität studieren.” 或 “Ich will nicht mehr (an der Uni) studieren.” 或 “Ich will nicht mehr an der Uni studieren.” 或 “Ich möchte nicht mehr (an der Uni) studieren.” 或 “Ich möchte nicht mehr an der Uni studieren.”,,
